Coach,Tm,G,W,L,T,w/ Team_G,w/ Team_W,w/ Team_L,w/ Team_T,Career_G,Career_W,Career_L,Career_T,Playoffs_G plyf,Playoffs_W plyf,Playoffs_L plyf,w/ Team_G plyf,w/ Team_W plyf,w/ Team_L plyf,Career_G plyf,Career_W plyf,Career_L plyf,Remark,season
Kevin Stefanski,CLE,16,11,5,0,66,37,29,0,66,37,29,0,2,1,1,2,1,1,2,1,1,,2020
Mike McCarthy,DAL,16,6,10,0,66,41,25,0,270,166,102,2,,,,3,1,2,21,11,10,,2020
Vic Fangio,DEN,16,5,11,0,49,19,30,0,49,19,30,0,,,,,,,,,,,2020
Darrell Bevell,DET,5,1,4,0,5,1,4,0,9,2,7,0,,,,,,,,,,Interim coach after Week 12,2020
Matt Patricia,DET,11,4,7,0,43,13,29,1,43,13,29,1,,,,,,,,,,Fired after week 12,2020
Matt LaFleur,GNB,16,13,3,0,82,55,27,0,82,55,27,0,2,1,1,5,2,3,5,2,3,,2020
Romeo Crennel,HOU,12,4,8,0,12,4,8,0,95,32,63,0,,,,,,,0,0,0,,2020
Bill O'Brien,HOU,4,0,4,0,100,52,48,0,100,52,48,0,,,,6,2,4,6,2,4,Fired after week 4,2020
Frank Reich,IND,16,11,5,0,74,40,33,1,85,41,43,1,1,0,1,3,1,2,3,1,2,,2020
Doug Marrone,JAX,16,1,15,0,66,23,43,0,98,38,60,0,,,,3,2,1,3,2,1,,2020
Andy Reid,KAN,16,14,2,0,178,127,51,0,402,257,144,1,3,2,1,19,12,7,38,22,16,AFC Champions,2020
Anthony Lynn,LAC,16,7,9,0,64,33,31,0,65,33,32,0,,,,2,1,1,2,1,1,,2020
Sean McVay,LAR,16,10,6,0,114,69,45,0,114,69,45,0,2,1,1,10,7,3,10,7,3,,2020
Jon Gruden,LVR,16,8,8,0,117,60,57,0,229,117,112,0,,,,5,2,3,10,5,5,,2020
Brian Flores,MIA,16,10,6,0,49,24,25,0,49,24,25,0,,,,,,,,,,,2020
Mike Zimmer,MIN,16,7,9,0,129,72,56,1,129,72,56,1,,,,5,2,3,5,2,3,,2020
Sean Payton,NOR,16,12,4,0,241,152,89,0,257,160,97,0,2,1,1,17,9,8,17,9,8,,2020
Bill Belichick,NWE,16,7,9,0,386,266,120,0,466,302,164,0,,,,42,30,12,44,31,13,,2020
Joe Judge,NYG,16,6,10,0,33,10,23,0,33,10,23,0,,,,,,,,,,,2020
Adam Gase,NYJ,16,2,14,0,32,9,23,0,80,32,48,0,,,,,,,1,0,1,,2020
Doug Pederson,PHI,16,4,11,1,80,42,37,1,113,60,52,1,,,,6,4,2,8,5,3,,2020
Mike Tomlin,PIT,16,12,4,0,274,172,100,2,274,172,100,2,1,0,1,17,8,9,17,8,9,,2020
Pete Carroll,SEA,16,12,4,0,226,136,89,1,290,169,120,1,1,0,1,19,10,9,22,11,11,,2020
Kyle Shanahan,SFO,16,6,10,0,114,64,50,0,114,64,50,0,,,,9,6,3,9,6,3,,2020
Bruce Arians,TAM,16,11,5,0,49,31,18,0,129,80,48,1,4,4,0,6,5,1,9,6,3,Super Bowl Champions,2020
Mike Vrabel,TEN,16,11,5,0,98,53,45,0,98,53,45,0,1,0,1,5,2,3,5,2,3,,2020
Ron Rivera,WAS,16,7,9,0,66,26,39,1,206,102,102,2,1,0,1,1,0,1,8,3,5,,2020
Kliff Kingsbury,ARI,16,5,10,1,66,28,37,1,66,28,37,1,,,,1,0,1,1,0,1,,2019
Dan Quinn,ATL,16,7,9,0,85,43,42,0,85,43,42,0,,,,5,3,2,5,3,2,,2019
John Harbaugh,BAL,16,14,2,0,258,160,98,0,258,160,98,0,1,0,1,20,11,9,20,11,9,,2019
Sean McDermott,BUF,16,10,6,0,113,72,41,0,113,72,41,0,1,0,1,9,4,5,9,4,5,,2019
Perry Fewell,CAR,4,0,4,0,4,0,4,0,11,3,8,0,,,,,,,0,0,0,Interim coach as of Week 13,2019
Ron Rivera,CAR,12,5,7,0,140,76,63,1,206,102,102,2,,,,7,3,4,8,3,5,Fired after Week 13,2019
Matt Nagy,CHI,16,8,8,0,65,34,31,0,65,34,31,0,,,,2,0,2,2,0,2,,2019
Zac Taylor,CIN,16,2,14,0,81,36,44,1,81,36,44,1,,,,7,5,2,7,5,2,,2019
Freddie Kitchens,CLE,16,6,10,0,16,6,10,0,16,6,10,0,,,,,,,,,,,2019
Jason Garrett,DAL,16,8,8,0,152,85,67,0,152,85,67,0,,,,5,2,3,5,2,3,,2019
Vic Fangio,DEN,16,7,9,0,49,19,30,0,49,19,30,0,,,,,,,,,,,2019
Matt Patricia,DET,16,3,12,1,43,13,29,1,43,13,29,1,,,,,,,,,,,2019
Matt LaFleur,GNB,16,13,3,0,82,55,27,0,82,55,27,0,2,1,1,5,2,3,5,2,3,,2019
Bill O'Brien,HOU,16,10,6,0,100,52,48,0,100,52,48,0,2,1,1,6,2,4,6,2,4,,2019
Frank Reich,IND,16,7,9,0,74,40,33,1,85,41,43,1,,,,3,1,2,3,1,2,,2019
Doug Marrone,JAX,16,6,10,0,66,23,43,0,98,38,60,0,,,,3,2,1,3,2,1,,2019
Andy Reid,KAN,16,12,4,0,178,127,51,0,402,257,144,1,3,3,0,19,12,7,38,22,16,Super Bowl Champions,2019
Anthony Lynn,LAC,16,5,11,0,64,33,31,0,65,33,32,0,,,,2,1,1,2,1,1,,2019
Sean McVay,LAR,16,9,7,0,114,69,45,0,114,69,45,0,,,,10,7,3,10,7,3,,2019
Brian Flores,MIA,16,5,11,0,49,24,25,0,49,24,25,0,,,,,,,,,,,2019
Mike Zimmer,MIN,16,10,6,0,129,72,56,1,129,72,56,1,2,1,1,5,2,3,5,2,3,,2019
Sean Payton,NOR,16,13,3,0,241,152,89,0,257,160,97,0,1,0,1,17,9,8,17,9,8,,2019
Bill Belichick,NWE,16,12,4,0,386,266,120,0,466,302,164,0,1,0,1,42,30,12,44,31,13,,2019
Pat Shurmur,NYG,16,4,12,0,32,9,23,0,65,19,46,0,,,,,,,0,0,0,,2019
Adam Gase,NYJ,16,7,9,0,32,9,23,0,80,32,48,0,,,,,,,1,0,1,,2019
Jon Gruden,OAK,16,7,9,0,117,60,57,0,229,117,112,0,,,,5,2,3,10,5,5,,2019
Doug Pederson,PHI,16,9,7,0,80,42,37,1,113,60,52,1,1,0,1,6,4,2,8,5,3,,2019
Mike Tomlin,PIT,16,8,8,0,274,172,100,2,274,172,100,2,,,,17,8,9,17,8,9,,2019
Pete Carroll,SEA,16,11,5,0,226,136,89,1,290,169,120,1,2,1,1,19,10,9,22,11,11,,2019
Kyle Shanahan,SFO,16,13,3,0,114,64,50,0,114,64,50,0,3,2,1,9,6,3,9,6,3,NFC Champions,2019
Bruce Arians,TAM,16,7,9,0,49,31,18,0,129,80,48,1,,,,6,5,1,9,6,3,,2019
Mike Vrabel,TEN,16,9,7,0,98,53,45,0,98,53,45,0,3,2,1,5,2,3,5,2,3,,2019
Bill Callahan,WAS,11,3,8,0,11,3,8,0,43,18,25,0,,,,,,,3,2,1,Interim coach after Week 5,2019
Jay Gruden,WAS,5,0,5,0,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,Fired after Week 5,2019
Steve Wilks,ARI,16,3,13,0,16,3,13,0,28,9,19,0,,,,,,,,,,,2018
Dan Quinn,ATL,16,7,9,0,85,43,42,0,85,43,42,0,0,0,0,5,3,2,5,3,2,,2018
John Harbaugh,BAL,16,10,6,0,258,160,98,0,258,160,98,0,1,0,1,20,11,9,20,11,9,,2018
Sean McDermott,BUF,16,6,10,0,113,72,41,0,113,72,41,0,0,0,0,9,4,5,9,4,5,,2018
Ron Rivera,CAR,16,7,9,0,140,76,63,1,206,102,102,2,,,,7,3,4,8,3,5,,2018
Matt Nagy,CHI,16,12,4,0,65,34,31,0,65,34,31,0,1,0,1,2,0,2,2,0,2,,2018
Marvin Lewis,CIN,16,6,10,0,256,131,122,3,256,131,122,3,,,,7,0,7,7,0,7,,2018
Hue Jackson,CLE,8,2,5,1,40,3,36,1,56,11,44,1,,,,,,,0,0,0,,2018
Gregg Williams,CLE,8,5,3,0,8,5,3,0,56,22,34,0,,,,,,,0,0,0,,2018
Jason Garrett,DAL,16,10,6,0,152,85,67,0,152,85,67,0,2,1,1,5,2,3,5,2,3,,2018
Vance Joseph,DEN,16,6,10,0,32,11,21,0,32,11,21,0,,,,,,,,,,,2018
Matt Patricia,DET,16,6,10,0,43,13,29,1,43,13,29,1,,,,,,,,,,,2018
Mike McCarthy,GNB,12,4,7,1,204,125,77,2,270,166,102,2,,,,18,10,8,21,11,10,Fired after Week 13,2018
Joe Philbin,GNB,4,2,2,0,4,2,2,0,56,26,30,0,,,,,,,0,0,0,Interim coach after Week 13,2018
Bill O'Brien,HOU,16,11,5,0,100,52,48,0,100,52,48,0,1,0,1,6,2,4,6,2,4,,2018
Frank Reich,IND,16,10,6,0,74,40,33,1,85,41,43,1,2,1,1,3,1,2,3,1,2,,2018
Doug Marrone,JAX,16,5,11,0,66,23,43,0,98,38,60,0,,,,3,2,1,3,2,1,,2018
Andy Reid,KAN,16,12,4,0,178,127,51,0,402,257,144,1,2,1,1,19,12,7,38,22,16,,2018
Anthony Lynn,LAC,16,12,4,0,64,33,31,0,65,33,32,0,2,1,1,2,1,1,2,1,1,,2018
Sean McVay,LAR,16,13,3,0,114,69,45,0,114,69,45,0,3,2,1,10,7,3,10,7,3,NFC Champions,2018
Adam Gase,MIA,16,7,9,0,48,23,25,0,80,32,48,0,,,,1,0,1,1,0,1,,2018
Mike Zimmer,MIN,16,8,7,1,129,72,56,1,129,72,56,1,,,,5,2,3,5,2,3,,2018
Sean Payton,NOR,16,13,3,0,241,152,89,0,257,160,97,0,2,1,1,17,9,8,17,9,8,,2018
Bill Belichick,NWE,16,11,5,0,386,266,120,0,466,302,164,0,3,3,0,42,30,12,44,31,13,Super Bowl Champions,2018
Pat Shurmur,NYG,16,5,11,0,32,9,23,0,65,19,46,0,,,,,,,0,0,0,,2018
Todd Bowles,NYJ,16,4,12,0,64,24,40,0,100,42,58,0,,,,,,,1,0,1,,2018
Jon Gruden,OAK,16,4,12,0,117,60,57,0,229,117,112,0,,,,5,2,3,10,5,5,,2018
Doug Pederson,PHI,16,9,7,0,80,42,37,1,113,60,52,1,2,1,1,6,4,2,8,5,3,,2018
Mike Tomlin,PIT,16,9,6,1,274,172,100,2,274,172,100,2,,,,17,8,9,17,8,9,,2018
Pete Carroll,SEA,16,10,6,0,226,136,89,1,290,169,120,1,1,0,1,19,10,9,22,11,11,,2018
Kyle Shanahan,SFO,16,4,12,0,114,64,50,0,114,64,50,0,,,,9,6,3,9,6,3,,2018
Dirk Koetter,TAM,16,5,11,0,48,19,29,0,48,19,29,0,,,,,,,,,,,2018
Mike Vrabel,TEN,16,9,7,0,98,53,45,0,98,53,45,0,,,,5,2,3,5,2,3,,2018
Jay Gruden,WAS,16,7,9,0,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,,2018
Bruce Arians,ARI,16,8,8,0,80,49,30,1,129,80,48,1,,,,3,1,2,9,6,3,,2017
Dan Quinn,ATL,16,10,6,0,85,43,42,0,85,43,42,0,2,1,1,5,3,2,5,3,2,,2017
John Harbaugh,BAL,16,9,7,0,258,160,98,0,258,160,98,0,,,,20,11,9,20,11,9,,2017
Sean McDermott,BUF,16,9,7,0,113,72,41,0,113,72,41,0,1,0,1,9,4,5,9,4,5,,2017
Ron Rivera,CAR,16,11,5,0,140,76,63,1,206,102,102,2,1,0,1,7,3,4,8,3,5,,2017
John Fox,CHI,16,5,11,0,48,14,34,0,256,133,123,0,,,,,,,15,8,7,,2017
Marvin Lewis,CIN,16,7,9,0,256,131,122,3,256,131,122,3,,,,7,0,7,7,0,7,,2017
Hue Jackson,CLE,16,0,16,0,40,3,36,1,56,11,44,1,,,,,,,0,0,0,,2017
Jason Garrett,DAL,16,9,7,0,152,85,67,0,152,85,67,0,,,,5,2,3,5,2,3,,2017
Vance Joseph,DEN,16,5,11,0,32,11,21,0,32,11,21,0,,,,,,,,,,,2017
Jim Caldwell,DET,16,9,7,0,64,36,28,0,112,62,50,0,,,,2,0,2,6,2,4,,2017
Mike McCarthy,GNB,16,7,9,0,204,125,77,2,270,166,102,2,,,,18,10,8,21,11,10,,2017
Bill O'Brien,HOU,16,4,12,0,100,52,48,0,100,52,48,0,,,,6,2,4,6,2,4,,2017
Chuck Pagano,IND,16,4,12,0,96,53,43,0,96,53,43,0,,,,6,3,3,6,3,3,,2017
Doug Marrone,JAX,16,10,6,0,66,23,43,0,98,38,60,0,3,2,1,3,2,1,3,2,1,,2017
Andy Reid,KAN,16,10,6,0,178,127,51,0,402,257,144,1,1,0,1,19,12,7,38,22,16,,2017
Anthony Lynn,LAC,16,9,7,0,64,33,31,0,65,33,32,0,,,,2,1,1,2,1,1,,2017
Sean McVay,LAR,16,11,5,0,114,69,45,0,114,69,45,0,1,0,1,10,7,3,10,7,3,,2017
Adam Gase,MIA,16,6,10,0,48,23,25,0,80,32,48,0,,,,1,0,1,1,0,1,,2017
Mike Zimmer,MIN,16,13,3,0,129,72,56,1,129,72,56,1,2,1,1,5,2,3,5,2,3,,2017
Sean Payton,NOR,16,11,5,0,241,152,89,0,257,160,97,0,2,1,1,17,9,8,17,9,8,,2017
Bill Belichick,NWE,16,13,3,0,386,266,120,0,466,302,164,0,3,2,1,42,30,12,44,31,13,AFC Champions,2017
Steve Spagnuolo,NYG,4,1,3,0,4,1,3,0,52,11,41,0,,,,,,,0,0,0,Started 12/04,2017
Ben McAdoo,NYG,12,2,10,0,28,13,15,0,28,13,15,0,,,,1,0,1,1,0,1,Fired 12/04,2017
Todd Bowles,NYJ,16,5,11,0,64,24,40,0,100,42,58,0,,,,,,,1,0,1,,2017
Jack Del Rio,OAK,16,6,10,0,48,25,23,0,187,93,94,0,,,,1,0,1,4,1,3,,2017
Doug Pederson,PHI,16,13,3,0,80,42,37,1,113,60,52,1,3,3,0,6,4,2,8,5,3,Super Bowl Champions,2017
Mike Tomlin,PIT,16,13,3,0,274,172,100,2,274,172,100,2,1,0,1,17,8,9,17,8,9,,2017
Pete Carroll,SEA,16,9,7,0,226,136,89,1,290,169,120,1,,,,19,10,9,22,11,11,,2017
Kyle Shanahan,SFO,16,6,10,0,114,64,50,0,114,64,50,0,,,,9,6,3,9,6,3,,2017
Dirk Koetter,TAM,16,5,11,0,48,19,29,0,48,19,29,0,,,,,,,,,,,2017
Mike Mularkey,TEN,16,9,7,0,41,20,21,0,89,36,53,0,2,1,1,2,1,1,2,1,1,,2017
Jay Gruden,WAS,16,7,9,0,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,,2017
Bruce Arians,ARI,16,7,8,1,80,49,30,1,129,80,48,1,,,,3,1,2,9,6,3,,2016
Dan Quinn,ATL,16,11,5,0,85,43,42,0,85,43,42,0,3,2,1,5,3,2,5,3,2,NFC Champions,2016
John Harbaugh,BAL,16,8,8,0,258,160,98,0,258,160,98,0,,,,20,11,9,20,11,9,,2016
Anthony Lynn,BUF,1,0,1,0,1,0,1,0,65,33,32,0,0,0,0,0,0,0,2,1,1,Promoted to Head Coach after Week 16,2016
Rex Ryan,BUF,15,7,8,0,31,15,16,0,127,61,66,0,0,0,0,0,0,0,6,4,2,Fired after Week 16,2016
Ron Rivera,CAR,16,6,10,0,140,76,63,1,206,102,102,2,,,,7,3,4,8,3,5,,2016
John Fox,CHI,16,3,13,0,48,14,34,0,256,133,123,0,,,,,,,15,8,7,,2016
Marvin Lewis,CIN,16,6,9,1,256,131,122,3,256,131,122,3,,,,7,0,7,7,0,7,,2016
Hue Jackson,CLE,16,1,15,0,40,3,36,1,56,11,44,1,,,,,,,0,0,0,,2016
Jason Garrett,DAL,16,13,3,0,152,85,67,0,152,85,67,0,1,0,1,5,2,3,5,2,3,,2016
Gary Kubiak,DEN,16,9,7,0,32,21,11,0,157,82,75,0,,,,3,3,0,7,5,2,,2016
Jim Caldwell,DET,16,9,7,0,64,36,28,0,112,62,50,0,1,0,1,2,0,2,6,2,4,,2016
Mike McCarthy,GNB,16,10,6,0,204,125,77,2,270,166,102,2,3,2,1,18,10,8,21,11,10,,2016
Bill O'Brien,HOU,16,9,7,0,100,52,48,0,100,52,48,0,2,1,1,6,2,4,6,2,4,,2016
Chuck Pagano,IND,16,8,8,0,96,53,43,0,96,53,43,0,,,,6,3,3,6,3,3,,2016
Gus Bradley,JAX,14,2,12,0,62,14,48,0,62,14,48,0,0,0,0,0,0,0,0,0,0,,2016
Doug Marrone,JAX,2,1,1,0,66,23,43,0,98,38,60,0,,,,3,2,1,3,2,1,Hired after week 14,2016
Andy Reid,KAN,16,12,4,0,178,127,51,0,402,257,144,1,1,0,1,19,12,7,38,22,16,,2016
Jeff Fisher,LAR,13,4,9,0,77,31,45,1,339,173,165,1,0,0,0,0,0,0,11,5,6,Fired after Week 14,2016
John Fassel,LAR,3,0,3,0,3,0,3,0,3,0,3,0,,,,,,,,,,Promoted to Head Coach after Week 14,2016
Adam Gase,MIA,16,10,6,0,48,23,25,0,80,32,48,0,1,0,1,1,0,1,1,0,1,,2016
Mike Zimmer,MIN,16,8,8,0,129,72,56,1,129,72,56,1,,,,5,2,3,5,2,3,,2016
Sean Payton,NOR,16,7,9,0,241,152,89,0,257,160,97,0,,,,17,9,8,17,9,8,,2016
Bill Belichick,NWE,16,14,2,0,386,266,120,0,466,302,164,0,3,3,0,42,30,12,44,31,13,Super Bowl Champions,2016
Ben McAdoo,NYG,16,11,5,0,28,13,15,0,28,13,15,0,1,0,1,1,0,1,1,0,1,,2016
Todd Bowles,NYJ,16,5,11,0,64,24,40,0,100,42,58,0,,,,,,,1,0,1,,2016
Jack Del Rio,OAK,16,12,4,0,48,25,23,0,187,93,94,0,1,0,1,1,0,1,4,1,3,,2016
Doug Pederson,PHI,16,7,9,0,80,42,37,1,113,60,52,1,,,,6,4,2,8,5,3,,2016
Mike Tomlin,PIT,16,11,5,0,274,172,100,2,274,172,100,2,3,2,1,17,8,9,17,8,9,,2016
Mike McCoy,SDG,16,5,11,0,64,27,37,0,64,27,37,0,,,,2,1,1,2,1,1,,2016
Pete Carroll,SEA,16,10,5,1,226,136,89,1,290,169,120,1,2,1,1,19,10,9,22,11,11,,2016
Chip Kelly,SFO,16,2,14,0,16,2,14,0,63,28,35,0,,,,,,,1,0,1,,2016
Dirk Koetter,TAM,16,9,7,0,48,19,29,0,48,19,29,0,,,,,,,,,,,2016
Mike Mularkey,TEN,16,9,7,0,41,20,21,0,89,36,53,0,,,,2,1,1,2,1,1,,2016
Jay Gruden,WAS,16,8,7,1,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,,2016
Bruce Arians,ARI,16,13,3,0,80,49,30,1,129,80,48,1,2,1,1,3,1,2,9,6,3,,2015
Dan Quinn,ATL,16,8,8,0,85,43,42,0,85,43,42,0,0,0,0,5,3,2,5,3,2,,2015
John Harbaugh,BAL,16,5,11,0,258,160,98,0,258,160,98,0,,,,20,11,9,20,11,9,,2015
Rex Ryan,BUF,16,8,8,0,31,15,16,0,127,61,66,0,,,,0,0,0,6,4,2,,2015
Ron Rivera,CAR,16,15,1,0,140,76,63,1,206,102,102,2,3,2,1,7,3,4,8,3,5,NFC Champions,2015
John Fox,CHI,16,6,10,0,48,14,34,0,256,133,123,0,,,,,,,15,8,7,,2015
Marvin Lewis,CIN,16,12,4,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,,2015
Mike Pettine,CLE,16,3,13,0,32,10,22,0,32,10,22,0,,,,0,0,0,0,0,0,,2015
Jason Garrett,DAL,16,4,12,0,152,85,67,0,152,85,67,0,,,,5,2,3,5,2,3,,2015
Gary Kubiak,DEN,16,12,4,0,32,21,11,0,157,82,75,0,3,3,0,3,3,0,7,5,2,Super Bowl Champions,2015
Jim Caldwell,DET,16,7,9,0,64,36,28,0,112,62,50,0,,,,2,0,2,6,2,4,,2015
Mike McCarthy,GNB,16,10,6,0,204,125,77,2,270,166,102,2,2,1,1,18,10,8,21,11,10,,2015
Bill O'Brien,HOU,16,9,7,0,100,52,48,0,100,52,48,0,1,0,1,6,2,4,6,2,4,,2015
Chuck Pagano,IND,16,8,8,0,96,53,43,0,96,53,43,0,,,,6,3,3,6,3,3,,2015
Gus Bradley,JAX,16,5,11,0,62,14,48,0,62,14,48,0,,,,0,0,0,0,0,0,,2015
Andy Reid,KAN,16,11,5,0,178,127,51,0,402,257,144,1,2,1,1,19,12,7,38,22,16,,2015
Dan Campbell,MIA,12,5,7,0,12,5,7,0,62,28,33,1,,,,,,,,,,Replaced Joe Philbin after Week 4,2015
Joe Philbin,MIA,4,1,3,0,52,24,28,0,56,26,30,0,0,0,0,0,0,0,0,0,0,Fired after Week 4,2015
Mike Zimmer,MIN,16,11,5,0,129,72,56,1,129,72,56,1,1,0,1,5,2,3,5,2,3,,2015
Sean Payton,NOR,16,7,9,0,241,152,89,0,257,160,97,0,,,,17,9,8,17,9,8,,2015
Bill Belichick,NWE,16,12,4,0,386,266,120,0,466,302,164,0,2,1,1,42,30,12,44,31,13,,2015
Tom Coughlin,NYG,16,6,10,0,192,102,90,0,320,170,150,0,,,,11,8,3,19,12,7,,2015
Todd Bowles,NYJ,16,10,6,0,64,24,40,0,100,42,58,0,,,,,,,1,0,1,,2015
Jack Del Rio,OAK,16,7,9,0,48,25,23,0,187,93,94,0,,,,1,0,1,4,1,3,,2015
Chip Kelly,PHI,15,6,9,0,47,26,21,0,63,28,35,0,0,0,0,1,0,1,1,0,1,Fired after Week 16,2015
Pat Shurmur,PHI,1,1,0,0,1,1,0,0,65,19,46,0,,,,,,,0,0,0,Interim head coach for Week 17,2015
Mike Tomlin,PIT,16,10,6,0,274,172,100,2,274,172,100,2,2,1,1,17,8,9,17,8,9,,2015
Mike McCoy,SDG,16,4,12,0,64,27,37,0,64,27,37,0,,,,2,1,1,2,1,1,,2015
Pete Carroll,SEA,16,10,6,0,226,136,89,1,290,169,120,1,2,1,1,19,10,9,22,11,11,,2015
Jim Tomsula,SFO,16,5,11,0,17,6,11,0,17,6,11,0,,,,0,0,0,0,0,0,,2015
Jeff Fisher,STL,16,7,9,0,77,31,45,1,339,173,165,1,,,,0,0,0,11,5,6,,2015
Lovie Smith,TAM,16,6,10,0,32,8,24,0,193,92,100,1,,,,0,0,0,6,3,3,,2015
Mike Mularkey,TEN,9,2,7,0,41,20,21,0,89,36,53,0,,,,2,1,1,2,1,1,Replaced Ken Whisenhunt after Week 8,2015
Ken Whisenhunt,TEN,7,1,6,0,23,3,20,0,119,48,71,0,0,0,0,0,0,0,6,4,2,Fired after Week 8,2015
Jay Gruden,WAS,16,9,7,0,85,35,49,1,85,35,49,1,1,0,1,1,0,1,1,0,1,,2015
Bruce Arians,ARI,16,11,5,0,80,49,30,1,129,80,48,1,1,0,1,3,1,2,9,6,3,,2014
Mike Smith,ATL,16,6,10,0,112,66,46,0,112,66,46,0,0,0,0,5,1,4,5,1,4,,2014
John Harbaugh,BAL,16,10,6,0,258,160,98,0,258,160,98,0,2,1,1,20,11,9,20,11,9,,2014
Doug Marrone,BUF,16,9,7,0,32,15,17,0,98,38,60,0,0,0,0,0,0,0,3,2,1,,2014
Ron Rivera,CAR,16,7,8,1,140,76,63,1,206,102,102,2,2,1,1,7,3,4,8,3,5,,2014
Marc Trestman,CHI,16,5,11,0,32,13,19,0,32,13,19,0,0,0,0,0,0,0,0,0,0,,2014
Marvin Lewis,CIN,16,10,5,1,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,,2014
Mike Pettine,CLE,16,7,9,0,32,10,22,0,32,10,22,0,0,0,0,0,0,0,0,0,0,,2014
Jason Garrett,DAL,16,12,4,0,152,85,67,0,152,85,67,0,2,1,1,5,2,3,5,2,3,,2014
John Fox,DEN,16,12,4,0,64,46,18,0,256,133,123,0,1,0,1,7,3,4,15,8,7,,2014
Jim Caldwell,DET,16,11,5,0,64,36,28,0,112,62,50,0,1,0,1,2,0,2,6,2,4,,2014
Mike McCarthy,GNB,16,12,4,0,204,125,77,2,270,166,102,2,2,1,1,18,10,8,21,11,10,,2014
Bill O'Brien,HOU,16,9,7,0,100,52,48,0,100,52,48,0,0,0,0,6,2,4,6,2,4,,2014
Chuck Pagano,IND,16,11,5,0,96,53,43,0,96,53,43,0,3,2,1,6,3,3,6,3,3,,2014
Gus Bradley,JAX,16,3,13,0,62,14,48,0,62,14,48,0,0,0,0,0,0,0,0,0,0,,2014
Andy Reid,KAN,16,9,7,0,178,127,51,0,402,257,144,1,0,0,0,19,12,7,38,22,16,,2014
Joe Philbin,MIA,16,8,8,0,52,24,28,0,56,26,30,0,0,0,0,0,0,0,0,0,0,,2014
Mike Zimmer,MIN,16,7,9,0,129,72,56,1,129,72,56,1,0,0,0,5,2,3,5,2,3,,2014
Sean Payton,NOR,16,7,9,0,241,152,89,0,257,160,97,0,0,0,0,17,9,8,17,9,8,,2014
Bill Belichick,NWE,16,12,4,0,386,266,120,0,466,302,164,0,3,3,0,42,30,12,44,31,13,Super Bowl Champions,2014
Tom Coughlin,NYG,16,6,10,0,192,102,90,0,320,170,150,0,0,0,0,11,8,3,19,12,7,,2014
Rex Ryan,NYJ,16,4,12,0,96,46,50,0,127,61,66,0,0,0,0,6,4,2,6,4,2,,2014
Dennis Allen,OAK,4,0,4,0,36,8,28,0,69,23,46,0,0,0,0,0,0,0,0,0,0,Fired after week 4,2014
Tony Sparano,OAK,12,3,9,0,12,3,9,0,73,32,41,0,0,0,0,0,0,0,1,0,1,,2014
Chip Kelly,PHI,16,10,6,0,47,26,21,0,63,28,35,0,0,0,0,1,0,1,1,0,1,,2014
Mike Tomlin,PIT,16,11,5,0,274,172,100,2,274,172,100,2,1,0,1,17,8,9,17,8,9,,2014
Mike McCoy,SDG,16,9,7,0,64,27,37,0,64,27,37,0,0,0,0,2,1,1,2,1,1,,2014
Pete Carroll,SEA,16,12,4,0,226,136,89,1,290,169,120,1,3,2,1,19,10,9,22,11,11,NFC Champions,2014
Jim Harbaugh,SFO,16,8,8,0,64,44,19,1,64,44,19,1,0,0,0,8,5,3,8,5,3,,2014
Jeff Fisher,STL,16,6,10,0,77,31,45,1,339,173,165,1,0,0,0,0,0,0,11,5,6,,2014
Lovie Smith,TAM,16,2,14,0,32,8,24,0,193,92,100,1,0,0,0,0,0,0,6,3,3,,2014
Ken Whisenhunt,TEN,16,2,14,0,23,3,20,0,119,48,71,0,0,0,0,0,0,0,6,4,2,,2014
Jay Gruden,WAS,16,4,12,0,85,35,49,1,85,35,49,1,0,0,0,1,0,1,1,0,1,,2014
Bruce Arians,ARI,16,10,6,0,80,49,30,1,129,80,48,1,0,0,0,3,1,2,9,6,3,,2013
Mike Smith,ATL,16,4,12,0,112,66,46,0,112,66,46,0,0,0,0,5,1,4,5,1,4,,2013
John Harbaugh,BAL,16,8,8,0,258,160,98,0,258,160,98,0,0,0,0,20,11,9,20,11,9,,2013
Doug Marrone,BUF,16,6,10,0,32,15,17,0,98,38,60,0,0,0,0,0,0,0,3,2,1,,2013
Ron Rivera,CAR,16,12,4,0,140,76,63,1,206,102,102,2,1,0,1,7,3,4,8,3,5,,2013
Marc Trestman,CHI,16,8,8,0,32,13,19,0,32,13,19,0,0,0,0,0,0,0,0,0,0,,2013
Marvin Lewis,CIN,16,11,5,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,,2013
Rob Chudzinski,CLE,16,4,12,0,16,4,12,0,16,4,12,0,0,0,0,0,0,0,0,0,0,,2013
Jason Garrett,DAL,16,8,8,0,152,85,67,0,152,85,67,0,0,0,0,5,2,3,5,2,3,,2013
John Fox,DEN,16,13,3,0,64,46,18,0,256,133,123,0,3,2,1,7,3,4,15,8,7,AFC Champions,2013
